iter	Passed	Remaining
782	2563	710
783	2565	706
784	2567	703
785	2569	699
786	2575	697
787	2577	693
788	2580	690
789	2582	686
790	2584	682
791	2590	680
792	2592	676
793	2593	672
794	2595	669
795	2597	665
796	2599	662
797	2605	659
798	2609	656
799	2610	652
800	2612	649
801	2614	645
802	2615	641
803	2623	639
804	2625	635
805	2627	632
806	2629	628
807	2631	625
808	2640	623
809	2642	619
810	2644	616
811	2645	612
812	2647	608
813	2655	606
814	2657	603
815	2659	599
816	2660	596
817	2662	592
818	2664	588
819	2666	585
820	2667	581
821	2669	578
822	2672	574
823	2678	572
824	2681	568
825	2682	565
826	2684	561
827	2686	557
828	2687	554
829	2696	552
830	2699	548
831	2701	545
832	2702	541
833	2704	538
834	2711	535
835	2712	532
836	2714	528
837	2715	524
838	2717	521
839	2719	517
840	2724	515
841	2726	511
842	2728	508
843	2729	504
844	2731	501
845	2733	497
846	2740	495
847	2742	491
848	2747	488
849	2749	485
850	2750	481
851	2758	479
852	2760	475
853	2761	472
854	2763	468
855	2765	465
856	2772	462
857	2775	459
858	2776	455
859	2778	452
860	2781	449
861	2786	446
862	2788	442
863	2790	439
864	2791	435
865	2795	432
866	2797	429
867	2803	426
868	2805	422
869	2807	419
870	2808	416
871	2811	412
872	2816	409
873	2818	406
874	2820	402
875	2821	399
876	2823	395
877	2824	392
878	2826	389
879	2827	385
880	2834	382
881	2835	379
882	2836	375
883	2838	372
884	2840	369
885	2841	365
886	2843	362
887	2847	359
888	2849	355
889	2851	352
890	2853	349
891	2854	345
892	2856	342
893	2864	339
894	2868	336
895	2870	333
896	2871	329
897	2873	326
898	2879	323
899	2881	320
900	2883	316
901	2886	313
902	2887	310
903	2902	308
904	2904	304
905	2915	302
906	2927	300
907	2930	296
908	2932	293
909	2936	290
910	2941	287
911	2943	284
912	2945	280
913	2947	277
914	2949	273
915	2950	270
916	2952	267
917	2958	264
918	2959	260
919	2961	257
920	2962	254
921	2964	250
922	2965	247
923	2966	244
924	2971	240
925	2973	237
926	2976	234
927	2978	231
928	2980	227
929	2982	224
930	2987	221
931	2989	218
932	2990	214
933	2992	211
934	2993	208
935	2995	204
936	2996	201
937	3001	198
938	3003	195
939	3004	191
940	3006	188
941	3008	185
942	3009	181
943	3011	178
944	3013	175
945	3016	172
946	3017	168
947	3019	165
948	3020	162
949	3022	159
950	3024	155
951	3025	152
952	3031	149
953	3032	146
954	3034	142
955	3035	139
956	3037	136
957	3038	133
958	3039	129
959	3041	126
960	3047	123
961	3049	120
962	3051	117
963	3053	114
964	3054	110
965	3056	107
966	3062	104
967	3064	101
968	3066	98
969	3068	94
970	3072	91
971	3085	88
972	3087	85
973	3094	82
974	3096	79
975	3098	76
976	3099	72
977	3100	69
978	3102	66
979	3103	63
980	3111	60
981	3112	57
982	3114	53
983	3115	50
984	3117	47
985	3119	44
986	3125	41
987	3127	37
988	3129	34
989	3131	31
990	3133	28
991	3135	25
992	3140	22
993	3142	18
994	3144	15
995	3146	12
996	3148	9
997	3150	6
998	3162	3
999	3163	0
